;cod_uf;uf;populacao_2010;populacao_2022
0;11;RO;1562409;1581196
1;12;AC;733559;830018
2;13;AM;3483985;3941613
3;14;RR;450479;636707
4;15;PA;7581051;8120131
5;16;AP;669526;733759
6;17;TO;1383445;1511460
7;21;MA;6574789;6776699
8;22;PI;3118360;3271199
9;23;CE;8452381;8794957
10;24;RN;3168027;3302729
11;25;PB;3766528;3974687
12;26;PE;8796448;9058931
13;27;AL;3120494;3127683
14;28;SE;2068017;2210004
15;29;BA;14016906;14141626
16;31;MG;19597330;20539989
17;32;ES;3514952;3833712
18;33;RJ;15989929;16055174
19;35;SP;41262199;44411238
20;41;PR;10444526;11444380
21;42;SC;6248436;7610361
22;43;RS;10693929;10882965
23;50;MS;2449024;2757013
24;51;MT;3035122;3658649
25;52;GO;6003788;7056495
