;cod_uf;uf;populacao_2010;populacao_2022;diferença
19;35;SP;41262199;44411238;3149039
21;42;SC;6248436;7610361;1361925
20;41;PR;10444526;11444380;999854
16;31;MG;19597330;20539989;942659
24;51;MT;3035122;3658649;623527
4;15;PA;7581051;8120131;539080
2;13;AM;3483985;3941613;457628
9;23;CE;8452381;8794957;342576
17;32;ES;3514952;3833712;318760
23;50;MS;2449024;2757013;307989
12;26;PE;8796448;9058931;262483
11;25;PB;3766528;3974687;208159
7;21;MA;6574789;6776699;201910
22;43;RS;10693929;10882965;189036
3;14;RR;450479;636707;186228
8;22;PI;3118360;3271199;152839
14;28;SE;2068017;2210004;141987
10;24;RN;3168027;3302729;134702
6;17;TO;1383445;1511460;128015
15;29;BA;14016906;14141626;124720
1;12;AC;733559;830018;96459
18;33;RJ;15989929;16055174;65245
5;16;AP;669526;733759;64233
13;27;AL;3120494;3127683;7189
